Angle,Average Cluster Size,Standard Deviation,Error on Average
0,1.0151239846088072,0.13294440593035836,0.00048593699938457425
5,1.0272535859981577,0.8564606872755479,0.0031069138478075687
10,1.0410321331496444,0.7365677326429589,0.0025949160518006524
15,1.0178804056297734,0.24834293176291672,0.0008875165684990909
20,1.0208366844430146,0.3362718307400233,0.0011828611065117685
25,1.0418375529843051,0.7981047062861758,0.0027013298961167794
30,1.0276201667506015,0.49830818278230693,0.0016670114746936118
35,1.0308666193046263,0.9078526836756752,0.002956234028773494
40,1.0170251985091556,0.4011456188217184,0.0012766277746162358
45,1.010216207927624,0.10800182382853982,0.0003343469369467549
50,1.026429871120838,0.6270168611706385,0.0018156562875407572
55,1.0157187878040699,0.5371658209240974,0.0014910864143127655
60,1.0120082342177492,0.24777093143081558,0.0006426445344194307
