Angle,Average Cluster Size,Standard Deviation,Error on Average
0,1.4091188337456622,0.9903423258997075,0.004035429135014633
5,1.339010048381094,1.187459119893166,0.0045815753103911
10,1.2419682686929594,0.9982810541473922,0.00368715975169175
15,1.1724329635663124,0.6756556116722536,0.002429441572055444
20,1.138315289817365,0.5248775472316392,0.0018699056292573173
25,1.1294620291250452,0.9514915159152022,0.0033008861140284207
30,1.1129122349710243,0.6235781656507716,0.0021272003039019133
35,1.1050176306971244,0.7062690816531229,0.0023371791264880253
40,1.1008263272173457,0.726966318091497,0.002332021476669495
45,1.1024324400857064,0.8182849633170183,0.0025140183155017643
50,1.098290488321625,0.9539579008947244,0.002793904749311672
55,1.0943483028039962,0.7638786962954238,0.0021151960914865663
60,1.0975386567812175,1.04477025636667,0.0027001515659372433
