Angle,Average Cluster Size,Standard Deviation,Error on Average
0,1.6606548006228687,2.2469406093038984,0.009975767558346362
5,1.475421395473776,1.0106130201178047,0.00414088301802344
10,1.2859472796464864,0.7698596491215454,0.0028743520016001555
15,1.205956915889091,0.6314344159490415,0.0023004487321534677
20,1.1745735574074307,0.7098132810230501,0.0025203189558041478
25,1.1541338063619149,0.7225561496768197,0.0025014974766650413
30,1.1336176839756404,0.6748191896165754,0.0023005259060505066
35,1.1353359562506165,1.4249203869924552,0.004717167555375792
40,1.1286894682682804,1.3111450791163162,0.004185076345856925
45,1.1258435554229895,0.9633586939135933,0.0029411728092601256
50,1.1106947574375907,0.508356228499965,0.0015024220819569326
55,1.112115565983484,0.746186969208304,0.002066223171824975
60,1.1076060310957385,0.5892914579193693,0.0015271795108350848
