Angle,Average Cluster Size,Standard Deviation,Error on Average
0,1.6584668756036505,1.7441978318946523,0.007743734780841919
5,1.5237559599758244,1.1571893197290086,0.00474146434620977
10,1.3166706162789077,1.0024100320840605,0.003742603324427514
15,1.224565641549754,0.7217197428326906,0.0026293772170688573
20,1.1860336111146133,0.7796217568590452,0.0027681864297286617
25,1.1623438885825923,0.7872864040058173,0.00272559434158038
30,1.1420552275579936,0.8240906012473288,0.0028094070326888806
35,1.1361579010816794,0.9538220365665333,0.003157606842857205
40,1.1309207241902783,0.9117718687054074,0.0029103071363457025
45,1.1258528764773872,0.8833091335257818,0.002696778284257817
50,1.113236552940971,0.5508726683600245,0.0016280773498788673
55,1.1164400892507993,0.8709055374455336,0.002411574144547014
60,1.1111051412068909,0.6578714461393534,0.0017049081228069246
