Angle,Average Cluster Size,Standard Deviation,Error on Average
0,1.7421829793617796,1.794806289445524,0.008308843170627566
5,1.575130703628437,1.2575119298936293,0.0052408615121186655
10,1.3446064139941691,0.9450736574004989,0.003564032596616578
15,1.2520570017301267,1.262325772766576,0.004587485980773454
20,1.1986559310213656,1.1489834777432197,0.004091397069855634
25,1.1787610835038487,1.172958720048415,0.0040935544388463075
30,1.1528402976266243,0.5740096550811311,0.00195262841389341
35,1.1460048770352875,1.2426364282468536,0.0041091746527982765
40,1.1426064828591072,1.2412165318474728,0.0039759510792169075
45,1.1316307609963108,0.6733338853827723,0.002081664135043475
50,1.1307645186060757,0.9866197716308703,0.0028980273229988304
55,1.1230595778623145,0.8236783623202325,0.002281106211845216
60,1.1178388196463547,0.6632972503574548,0.0017267921343289059
