Angle,Average Cluster Size,Standard Deviation,Error on Average
0,1.189667046141305,0.7000145886633469,0.0026243187712712574
5,1.1702796917127374,0.9638729530802406,0.0035567994109332295
10,1.1421680095690006,0.7984520079618309,0.0028947857071387165
15,1.1170435113053392,0.7023617492415336,0.0024997612826622826
20,1.091359061470143,0.414949513875294,0.0014801606445427645
25,1.0787100737100737,0.39090873397951725,0.0013701344035538373
30,1.0814066004120988,0.5871249457163021,0.001980965688567177
35,1.0724721872088563,0.6682261268526426,0.0022122933498080967
40,1.0768623847713403,0.6308401244408046,0.0019936260817799752
45,1.0794116564868643,0.6946877418413449,0.002106933812091223
50,1.0765639826487732,1.1836537018409652,0.003445282019525324
55,1.0624593413489871,0.6032268542008572,0.0016688130151781262
60,1.0634926977403951,0.7191774155292371,0.001855924722632389
