Angle,Average Cluster Size,Standard Deviation,Error on Average
0,1.41262024736601,1.1904715222182818,0.004815186662726243
5,1.3158149893193145,0.983051495313788,0.0038263198502697287
10,1.2251971517214044,1.0649267580967812,0.003936970089792191
15,1.1597467397959849,0.6169987175493302,0.002226996873055188
20,1.1286954094450226,0.48046100248935425,0.0017114194301871826
25,1.1165400448877207,0.5488684451667265,0.0019014996033984478
30,1.111093115535452,1.0891485842954447,0.0037044798777950607
35,1.1065681622088006,1.0894723294985706,0.003577910667534327
40,1.0895107334893075,0.46155171181171073,0.0014785124562912725
45,1.1052424307775974,1.4878818920224535,0.004556066606116946
50,1.08253239694235,0.5721501078883342,0.0016805716190083453
55,1.094207608487861,1.055998015411165,0.0029201202612729564
60,1.0991352324307404,0.9631591075745265,0.0024596650531489767
