Angle,Average Cluster Size,Standard Deviation,Depletion Depth (um)
0,5.57435743574358,0.740608786600553,#DIV/0!
5,5.57731546309262,1.00626836873118,-0.0318508260742095
10,5.58103241296519,1.08674227766341,0.20867543138235
15,5.5626125225045,0.685947928784265,0.783281754342173
20,5.5648,0.678675887298201,0.0355916193878341
25,5.56534346565343,0.639307385477628,-0.148151592080381
30,5.57665766576658,0.84980668805305,-0.0642959546469696
35,5.55975597559756,1.04370183089291,-1.29844324299185
40,5.56855685568557,0.722307137098053,-0.286741634341204
45,5.557,0.57771186589856,-0.259708599940613
50,5.5827,1.05894320433156,-3.44052186248164
55,5.56605660566057,0.735435957647503,0.0134081042702337
60,5.59185918591859,1.43678257512756,2.93467309927017
