Angle,Average Cluster Size,Standard Deviation
0,1.5555333399980007,0.7512794398385287
5,1.5585441455854414,0.8907962104135401
10,1.5555,0.6671729535884975
15,1.5611438856114388,0.7708609658894315
20,1.561,0.6986265096602046
25,1.5921776532959888,2.4051541029893517
30,1.5655696709012703,0.7915901038670102
35,1.573627911626512,1.9647631450238205
40,1.5571114222844569,0.6271902512872946
45,1.5604120824164833,0.7618511624069209
50,1.5819327731092436,1.9526686538763012
55,1.5621313605918226,0.7499632007628563
60,1.5535,0.6852282466448675
