Angle,Average Cluster Size,Standard Deviation,Depletion Depth (um)
0,5.58231646329266,0.663975547574279,#DIV/0!
5,5.58927678303491,1.27461540883761,0.0749458701262393
10,5.59235923592359,1.26720408979097,-0.173053769438454
15,5.57425742574257,0.683306722450697,-0.769755806399616
20,5.5880176035207,1.13342903755233,-0.223886650809344
25,5.57814688813288,0.712356089856805,-2.69080886793332
30,5.58777633289987,1.62942294464261,0.0547218838117197
35,5.59491898379676,0.978740913210807,-0.548721855706278
40,5.5878,0.801680210557802,-0.231943740662116
45,5.5787,1.27601187690397,0.204497514182047
50,5.58067420226068,0.632565148571931,0.264291285557349
55,5.58045804580458,0.812261119977881,-0.000174138053989213
60,5.5744148829766,0.651995822392314,0.687323019963584
