Angle,Average Cluster Size,Standard Deviation,Depletion Depth (um)
0,5.6129774045191,1.0474082969221,#DIV/0!
5,5.6019,0.655756349568956,-0.119276951514797
10,5.60911726482055,0.715270135777177,-0.405188636237796
15,5.6105,1.0130102418041,0.0587990053176087
20,5.6370725854829,1.08748371222994,-0.432352493044653
25,5.61718515554666,0.913590254530806,-5.42141787401189
30,5.60517896420716,0.962081105185427,-0.0682283790394458
35,5.59717915374612,0.780555459439713,0.614571663216722
40,5.6030396960304,0.783419035245884,0.1909424348376
45,5.61648494548365,0.774558138677458,-0.302145064917255
50,5.61413152108735,0.863752591410482,-0.315058680434154
55,5.59972008397481,0.630562161116419,-0.0116100146128865
60,5.60412082416483,0.894578714490636,-0.500521022448112
