Angle,Average Cluster Size,Standard Deviation,Depletion Depth (um)
0,1.65923184636927,0.650449772879828,#DIV/0!
5,1.6629988996699,0.964283818325017,-0.0405620859216575
10,1.65726572657266,0.662788724546358,-0.321869384918751
15,1.67186718671867,0.687667734195565,-0.620907998532256
20,1.67723544708942,1.17235607326796,0.0873449351060763
25,1.66489893936362,0.728143372183768,3.36299681265808
30,1.6815044513354,0.905448490194616,-0.0943652431414254
35,1.66423284656931,0.809885269296339,-1.32686129492904
40,1.6613,0.695400826861746,0.0955551274585488
45,1.6604,0.634091349885803,-0.020225028875147
50,1.64719415824747,0.6128442322726,1.7678983370443
55,1.66166616661666,0.702061929790915,-0.0116588114933985
60,1.66433286657331,0.652407263194869,0.303298838657033
