Angle,Average Cluster Size,Standard Deviation,Depletion Depth (um)
0,5.5984,0.758628657513017,#DIV/0!
5,5.60170085042521,1.21510301877141,0.0355422044439216
10,5.60247950409918,0.69501743933634,-0.0437148460117043
15,5.60556055605561,0.944204551742833,0.131017705387523
20,5.5966,0.755690703925888,0.145793820183594
25,5.59875925555333,1.32520042075529,0.58862440692058
30,5.5995199039808,0.925321032591707,0.00432258721831525
35,5.60492098419684,1.23581925806546,-0.41492868708684
40,5.624824964993,1.81279593175484,0.648491960612319
45,5.60217956408718,0.991670593713962,0.508893208010509
50,5.58951790358072,0.755282886127539,-1.6950474625611
55,5.60152030406081,0.921745958635176,0.0096692678096878
60,5.61304521808724,1.19503017920378,-1.31079352632668
