Angle,Average Cluster Size,Standard Deviation
0,5.5805580558055805,1.3166850096155547
5,5.5740722216664995,0.7206911756895709
10,5.578257825782578,0.7387190912126792
15,5.575987993996998,0.7329203899503248
20,5.584975492647795,1.2378877338886918
25,5.579573872161649,0.6811270650129433
30,5.596240375962404,1.4241344908079523
35,5.589441055894411,1.7418728671868393
40,5.5749,0.8320997476264461
45,5.586834733893557,0.9032657973920757
50,5.578673602080624,1.0076913980889664
55,5.588941105889411,1.3362391758654673
60,5.588158815881588,0.9055858926468191
