Angle,Average Cluster Size,Standard Deviation,Depletion Depth (um)
0,1.7805,0.717021443193995,#DIV/0!
5,1.77578789394697,0.699927865241689,0.0507380266063668
10,1.77304539092182,0.659237730156793,-0.153968447641989
15,1.79437943794379,0.774328335319283,-0.907202451299058
20,1.7668,0.669490672078409,-0.448734608811079
25,1.7842705623374,0.853537256802065,-4.76256707018924
30,1.78125625125025,0.843447107264575,0.0171296253392476
35,1.79205841168234,1.42382386504388,0.829857374173611
40,1.79415883176635,0.992791526243265,-0.0684338249892429
45,1.77844431113777,0.812509215395807,-0.353140703857975
50,1.76705341068214,0.61572929430119,1.52492770626334
55,1.78215643128626,0.694730307942803,-0.012167161993857
60,1.79121648659464,0.849008366763859,1.03045123105988
