Angle,Average Cluster Size,Standard Deviation,Depletion Depth (um)
0,1.51865186518652,0.827221598044622,#DIV/0!
5,1.54740948189638,0.821606839137635,0.309650229714902
10,1.53861544617847,0.781059194404353,0.493711042640139
15,1.53650730146029,1.08094920034729,-0.0896460973417299
20,1.5301,0.678891736582498,0.10425077988095
25,1.52404759524048,0.660456686718337,-1.64991733216594
30,1.53585358535854,0.840809339267468,0.0670906822932718
35,1.51145114511451,0.803933153464866,1.87467545142018
40,1.52725272527253,0.918975959923771,0.514831570748991
45,1.5243,0.630086906704147,0.0663543932191621
50,1.5457,1.0489573442233,2.86487034463457
55,1.51645164516452,0.685967510586035,-0.0235628011551573
60,1.54775477547755,1.24974033085293,-3.56028170570368
