Angle,Average Cluster Size,Standard Deviation
0,1.5473642092627788,0.5803303711622504
5,1.5908636545381847,0.5570604700170143
10,1.7277272272772723,0.510229448952668
15,1.8980694208262479,0.4608437773023723
20,2.0439043904390437,0.5205763125896624
25,2.226354729054189,0.5389760572642075
30,2.4926985397079418,0.8675524357556866
35,2.838016198380162,0.48901401888546875
40,3.2418241824182417,0.5362421731439043
45,3.6619,0.6621090469099469
50,4.133473305338932,0.523093288448215
55,4.765,0.8559059527775237
60,5.600519844046786,1.235439127084001
