Angle,Average Cluster Size,Standard Deviation
0,1.4642,0.7232692168204035
5,1.5111511151115111,0.5487082769047877
10,1.696981810913452,0.7302088482699338
15,1.8615138486151386,0.4366927958798946
20,2.0235,1.0177169301922813
25,2.2034,1.0384740921178537
30,2.468953104689531,0.5973485677303262
35,2.815736852629474,0.6135674444898663
40,3.2142,0.5064764160353383
45,3.642964296429643,0.5828998464989378
50,4.11931193119312,0.49365013486701387
55,4.752976488244122,0.6388379700076039
60,5.564512902580516,0.9849786568116269
