Angle,Average Cluster Size,Standard Deviation
0,1.5592677803341002,0.6682419832812592
5,1.5647740903638545,0.605768814484355
10,1.5491450854914508,0.5504354831639967
15,1.5610683204961489,0.6137668873206679
20,1.5774577457745775,1.2344749047343166
25,1.574385122975405,0.5650238016856775
30,1.5858171634326865,1.1852712183081413
35,1.5805419458054195,0.5945603384567174
40,1.5833583358335834,0.5807416024267157
45,1.6092,0.6096518350665401
50,1.6154769046190762,0.5899515310215793
55,1.6529,0.7976349979783985
60,1.7079876037188844,3.316399196109826
