Angle,Average Cluster Size,Standard Deviation
0,1.4287569944044765,0.635922051996993
5,1.414734106357457,0.518766972352375
10,1.4361,0.6068910857806368
15,1.4361,0.5300158393859569
20,1.433983008495752,0.6159341606584355
25,1.4397,0.5658302837423959
30,1.4431329398819646,0.5529772534066163
35,1.448944894489449,0.5621389836040327
40,1.4675467546754675,0.6546485688245912
45,1.4851,0.8861026972083991
50,1.4974,1.1180309655819018
55,1.5109510951095109,0.8524832891525673
60,1.5195480451954804,1.553062019222952
