Angle,Average Cluster Size,Standard Deviation
0,1.753472569201559,0.5646755545308342
5,1.7863068465767116,1.1664613528763925
10,1.843368673734747,0.5210814134804234
15,1.958429099630259,0.42278307519879094
20,2.111344327836082,0.41098879058444654
25,2.2888866659998,0.537639514669056
30,2.5688137627525505,0.5884597438199527
35,2.918308169183082,0.7662682694175618
40,3.3099929978993696,0.805870956388486
45,3.7119,0.7769803021956219
50,4.169932027189124,0.5698961683682052
55,4.790637191157347,0.5542314641591479
60,5.5915,0.7797613416937271
