Angle,Average Cluster Size,Standard Deviation
0,1.4978004399120175,0.5986430374359603
5,1.49500099980004,0.5815130037447962
10,1.5071985602879423,0.5845766197865314
15,1.5113488651134888,0.594693891257117
20,1.527741677496751,0.7107416002759065
25,1.5173965206958608,0.5641663263711597
30,1.5257525752575258,0.5854452543164892
35,1.5364463553644636,0.674574699528852
40,1.5334,0.6091670050158657
45,1.5582558255825583,0.6476291689801097
50,1.561,0.6485977181581818
55,1.5998,1.2462102390848824
60,1.6331,1.1508624548572257
