Angle,Average Cluster Size,Standard Deviation
0,1.665699709912974,1.3658830601530716
5,1.668966896689669,0.7819777437519899
10,1.663401958824705,0.5769177404835026
15,1.6714342868573715,0.62405452649833
20,1.6655,0.5242229964433077
25,1.685951239008793,0.6668123899641756
30,1.6817273090763694,0.5633249871907328
35,1.7059882035389382,0.610015979145103
40,1.6948610277944411,0.5986651031267172
45,1.7105131539461838,0.573516506394505
50,1.7314462892578515,0.6750440471249598
55,1.7710915633746502,0.7726196939867505
60,1.7796220377962204,1.067386886585048
