Angle,Average Cluster Size,Standard Deviation
0,1.4289568345323742,0.5933524898350867
5,1.498000799680128,0.5358928336409261
10,1.6818,0.5143430372815406
15,1.8508,0.43650814425391915
20,2.0051974012993505,0.36374004467915066
25,2.1973,0.4595353196436597
30,2.4536360908272483,0.5372733304374243
35,2.8091809180918093,0.5270858574483178
40,3.2216221622162218,0.6342939080024791
45,3.6438,0.7146478573395422
50,4.1302,0.8635090966515636
55,4.759075907590759,1.2130162929620174
60,5.567143285671433,0.626958547804475
