Angle,Average Cluster Size,Standard Deviation
0,1.6783034910473142,1.293616804177973
5,1.6916691669166917,0.6527512639449072
10,1.784129522286628,1.027977594139814
15,1.9241848369673935,0.42413345597797913
20,2.0648,0.36221673070138566
25,2.274480415667466,0.5444842140674542
30,2.521891243502599,0.6192472808897405
35,2.8968309507147856,2.1159890668891483
40,3.26124775044991,0.5178632313093572
45,3.680404121236371,0.5886366151153153
50,4.156431286257251,1.0297311377600373
55,4.789984006397441,1.3323909086790893
60,5.606639336066394,1.4247276686846226
