Angle,Average Cluster Size,Standard Deviation
0,1.4729,0.7876963818629608
5,1.4566456645664567,0.5476546193698792
10,1.4715170897461523,0.5949167013362862
15,1.4533546645335467,0.5466434973446321
20,1.4843,1.2572006641741804
25,1.465,0.5746085624144489
30,1.4814518548145186,0.590123806752515
35,1.4882023595280944,0.5929927990713558
40,1.5024,0.6208012886584564
45,1.4996499649964996,0.6128722858243975
50,1.51015101510151,0.6119717461930197
55,1.5362681340670334,0.6694657364841261
60,1.56001200240048,0.7228096364950412
