Angle,Average Cluster Size,Standard Deviation,Error on Average
0,2.240731487958429,0.5483587297046562,0.005481669048514349
5,2.2496252623163784,0.5407762034721944,0.005405870311106775
10,2.265593762495002,0.5336832489229959,0.005335765442835363
15,2.3552802477770007,1.2735786358144734,0.012730059119879587
20,2.4645212872276634,0.7330539440216349,0.007328341267512558
25,2.6533080151908854,0.7271281326402876,0.007269100923137381
30,2.8881559220389805,0.5831077433510752,0.005829620210588207
35,3.215392303848076,0.7815225970730915,0.007813272896610518
40,3.5703,0.6203691723482068,0.0062036917234820676
45,3.956812956113166,0.6378183722826449,0.006377227210477924
50,4.437094034176077,1.7822994853370113,0.017816760078237504
55,5.057088582283543,0.7429198180021929,0.007428455371623329
60,5.85020485660038,0.599828185656344,0.005996183559455387
