Angle,Average Cluster Size,Standard Deviation,Error on Average
0,2.6270745850829833,0.6503954315587364,0.006503304017698862
5,2.6351729654069187,0.897782497264513,0.0089769273247928
10,2.630373925214957,0.6146329680507596,0.006145715139719127
15,2.638036196380362,0.6441487486044347,0.00644116543582361
20,2.651604518644407,0.9269446622239791,0.009268056518012088
25,2.6587388827820524,0.6132667129619968,0.006130521822345243
30,2.6648340663734507,0.6196493172307056,0.006195254245338299
35,2.698810832417308,1.6445450480300245,0.016439697592722
40,2.7041,0.6472582096814224,0.006472582096814224
45,2.7468759372188343,0.6555761231831305,0.0065547780888481726
50,2.799340461676826,1.1199239277655961,0.011195321600569316
55,2.8508745627186407,1.2344183206929447,0.012341098317912906
60,2.878021978021978,0.6733150305660035,0.0067297862533363
