Angle,Average Cluster Size,Standard Deviation,Error on Average
0,2.6261747650469904,0.6227753807080908,0.00622713112510094
5,2.658368326334733,1.4298795564659912,0.014297365899549637
10,2.701759648070386,0.6886508948722823,0.0068858204011083704
15,2.8025197480251975,0.6663732024252513,0.0066633988626382135
20,2.9579126262121362,1.3492894229850902,0.01349087075098779
25,3.1286099730188868,0.5950630441003312,0.0059485488131398616
30,3.3542582966813277,0.6781348780965175,0.00677999291795433
35,3.6183671429999,1.3251133024110444,0.013246497561028213
40,3.9012,0.6146857408464934,0.006146857408464934
45,4.238928321503549,0.6019862248724435,0.006018959472506698
50,4.708703907264915,0.8127267816385813,0.008124424765164931
55,5.32223888055972,1.4658225905525077,0.01465456272268504
60,6.066533466533467,0.6538664464545261,0.006535397582270616
