Angle,Average Cluster Size,Standard Deviation
0,1.4780478047804781,1.2331444415948662
5,1.471052894710529,0.6433860324433499
10,1.4618,0.5599471046447155
15,1.4714057188562288,0.8889736490636504
20,1.4798080767692923,0.5766793732317255
25,1.4851,0.5572952449106305
30,1.4946516045186444,0.5663480917561775
35,1.5070521156346903,0.6600045184497512
40,1.515145456363091,0.597777839027719
45,1.5435912817436512,1.434272635351269
50,1.5374537453745374,0.5986720287899955
55,1.562625050020008,0.866764203196189
60,1.5867,0.6152098097397342
