Angle,Average Cluster Size,Standard Deviation
0,1.4218687474989995,0.5456345260282471
5,1.453218712514994,1.2071982872187303
10,1.4224732580225932,0.5702326293576835
15,1.435956404359564,0.6010714425185486
20,1.4301,0.6957830049663476
25,1.4425442544254425,0.5426818752994425
30,1.4469234617308655,0.5573280873446933
35,1.456008798240352,0.7021508270776174
40,1.4745474547454744,1.115011909299206
45,1.4681531846815319,0.587857228687353
50,1.4941494149414942,0.8185400264219782
55,1.507049295070493,0.7350654871116712
60,1.5191038207641527,0.7380339123878874
