Angle,Average Cluster Size,Standard Deviation
0,1.5367316341829085,0.9217105496169288
5,1.5308469153084692,0.8257149581686888
10,1.5357856857257097,0.8489585267955863
15,1.5335932813437312,0.6035299628549009
20,1.546945305469453,0.8495579692015759
25,1.565173930427829,1.1246975957400105
30,1.5548664599379813,0.6045040961259665
35,1.577469012395042,1.2467054350417663
40,1.576384723055389,0.6116693381907515
45,1.5867066466766617,0.624186185527762
50,1.6208653942240432,0.6600389190088547
55,1.6579762261512336,1.0759264288908226
60,1.7007394084732215,1.1476139762859618
