Angle,Average Cluster Size,Standard Deviation
0,1.5278193986614723,0.6080243143360076
5,1.5495252373813093,0.762614079577981
10,1.6059970014992504,0.6914079804957838
15,1.7136431784107946,0.8098955520387098
20,1.7960427700609574,0.4826067683574652
25,1.9264294282287084,0.5783177546535245
30,2.094324540367706,0.6537230914424395
35,2.308453237410072,0.5665895045605479
40,2.5657342657342657,0.5919242443114506
45,2.873266141103682,0.6317173099771342
50,3.226633416458853,0.5673659555012914
55,3.6889352818371606,1.0010273327603716
60,4.282198280122566,1.6993368605335024
