Angle,Average Cluster Size,Standard Deviation
0,1.5379772136717969,0.5795733971524744
5,1.5484903019396121,0.5860286123126061
10,1.5364390682795162,0.5437445158635186
15,1.5531787285085965,0.5804619860046515
20,1.5468453154684532,0.5981592743730978
25,1.5658473221422862,0.6064375056938461
30,1.5820925352253423,0.5653382819782228
35,1.597322142286171,0.6968015480919861
40,1.6049370377773335,0.667730553874715
45,1.6184815184815184,0.6114117006080694
50,1.6507888955462353,0.7092789081702013
55,1.6771166134185302,0.7465171479718383
60,1.7032309533306742,0.7915347468027536
