Angle,Average Cluster Size,Standard Deviation
0,1.5267206073319348,0.5897267742935881
5,1.5311344327836083,0.6567644118498309
10,1.5203398300849575,0.5511435428773014
15,1.5347326336831584,0.6175171068811495
20,1.5367242929949037,0.540389644196804
25,1.5581767293082767,0.666585613257845
30,1.5587529976019185,0.6324755358891035
35,1.5755395683453237,0.6195015600357956
40,1.5782217782217782,0.6241279508771967
45,1.6101187506236903,0.6198117826503947
50,1.6306234413965088,0.58229904679587
55,1.6984789740530868,1.3401686335045853
60,1.7183947810615796,1.1888375236465962
