Angle,Average Cluster Size,Standard Deviation
0,1.5237381309345328,0.6784770105636394
5,1.5721427857214278,0.7520394548665857
10,1.7069172331067572,0.7990073639459436
15,1.8512297540491902,0.6268846708322149
20,1.9998000199980002,0.46516483333521974
25,2.1694322271091564,1.005473444088053
30,2.3982194658397518,0.6377231671348987
35,2.724810075969612,1.2920032913706023
40,3.0866826634673066,0.7592557666646599
45,3.4816591704147926,0.6329203359833372
50,3.9390426701309083,0.597521280542789
55,4.551093796823494,0.9966789084561087
60,5.332434052757794,1.3279640055090132
