Angle,Average Cluster Size,Standard Deviation
0,1.4216686674669867,0.5422953903352091
5,1.5221911235505798,1.4817992662405406
10,1.6826951914425672,0.5383312303868202
15,1.8478152184781522,0.4427390591137497
20,2.0086,0.3996574032843639
25,2.18991899189919,0.4219623071522018
30,2.448224112056028,0.5707525532465161
35,2.809638072385523,0.5776576419575352
40,3.221122112211221,1.0860607044615311
45,3.6317368263173684,0.5751830922182319
50,4.144814481448145,1.730528918024753
55,4.763123687631237,1.3484814278972126
60,5.5728145629125825,0.7331825223927485
