Angle,Average Cluster Size,Standard Deviation
0,1.551069358384969,0.5686355141720764
5,1.5799840031993602,1.3683847355138006
10,1.6704988503448965,0.5436062626047047
15,1.8135745701719312,0.48480680923451686
20,1.9373062693730627,0.48574222437300724
25,2.0984212629896084,0.48499209450272374
30,2.2947936444488857,0.5032480440815134
35,2.58363309352518,0.8532394131045997
40,2.902058764741155,0.7214495583652925
45,3.2824175824175823,0.5702064661475815
50,3.7115038945476333,0.7714404103399195
55,4.25569089456869,1.2595551576602997
60,4.983346629437575,0.6642187639068118
