Angle,Average Cluster Size,Standard Deviation
0,1.4695469546954696,0.6535215480853392
5,1.5353464653534648,1.2441948000131315
10,1.6831,0.5123225448874956
15,1.8474305138972205,0.5970314959022653
20,2.0061975209916034,0.4457377059761047
25,2.1809,0.5491586200725619
30,2.422773168049585,0.5449955240141622
35,2.7621286385915775,0.5861205093088847
40,3.150654803558932,0.5076603248256162
45,3.585482903419316,1.0729915887684
50,4.03990399039904,0.5147177131355585
55,4.656262505002001,0.7575759798626084
60,5.46,0.6663332499583092
