Angle,Average Cluster Size,Standard Deviation,Error on Average
0,2.0149,0.21972252956854646,0.0021972252956854645
5,2.0193,0.4696035668518715,0.0046960356685187155
10,2.0243975602439757,0.6206175818583903,0.006205865533064194
15,2.0208,0.3120374336517987,0.003120374336517987
20,2.0195,0.28446396959896436,0.0028446396959896435
25,2.0327,0.45632303251096007,0.0045632303251096
30,2.038,0.3369807116141826,0.003369807116141826
35,2.1719,0.4312196540047779,0.004312196540047779
40,3.6878,0.5955931161455765,0.005955931161455766
45,4.0168,0.35541209883739067,0.0035541209883739066
50,4.0313968603139685,0.47664601062444256,0.00476622180111185
55,4.1103,0.7970783587577845,0.007970783587577846
60,6.008598280343931,0.5263750000341101,0.00526322370428416
