Angle,Average Cluster Size,Standard Deviation,Error on Average
0,2.0194,0.45477867144359313,0.004547786714435931
5,2.0228,0.38869031374604557,0.0038869031374604555
10,2.0223,0.4888790341178483,0.004888790341178483
15,2.0183,0.28419203014862987,0.0028419203014862985
20,2.0257,0.44748129569849093,0.004474812956984909
25,2.0207,0.2761729711611905,0.0027617297116119045
30,2.0254,0.3414012888083465,0.003414012888083465
35,2.0206,0.26301262327120367,0.002630126232712037
40,2.0359,0.897447040220202,0.00897447040220202
45,2.022297770222978,0.3049482913183626,0.0030493304504725744
50,2.0351,0.46440067829407927,0.004644006782940792
55,2.0518,0.958601460462063,0.00958601460462063
60,2.0378,0.3831072434710691,0.003831072434710691
