Angle,Average Cluster Size,Standard Deviation,Error on Average
0,2.014,0.22181974664127935,0.0022181974664127937
5,2.0168,0.23133905852665904,0.00231339058526659
10,2.022297770222978,0.33643935646705864,0.003364225357607777
15,2.0163,0.3455926937885103,0.003455926937885103
20,2.0215,0.2977209263723316,0.0029772092637233155
25,2.0211978802119788,0.2398850775985465,0.0023987308424416065
30,2.0466,0.562164068577848,0.005621640685778481
35,2.1803,0.5345950897642069,0.005345950897642069
40,3.6545,0.6055821579273941,0.006055821579273942
45,4.0202,0.3778782343559897,0.003778782343559897
50,4.0272,0.6017143508343491,0.006017143508343492
55,4.10978902109789,0.4599173981076864,0.004598944039623276
60,6.0141,0.5769759007099007,0.0057697590070990065
