Angle,Average Cluster Size,Standard Deviation,Error on Average
0,2.0162,0.21618871385897903,0.00216188713858979
5,2.0179,0.2982944686044314,0.0029829446860443138
10,2.0171,0.2738751357827128,0.002738751357827128
15,2.0163,0.20599589801740978,0.002059958980174098
20,2.0356,1.018495282266933,0.01018495282266933
25,2.0390960903909607,1.1131250774831651,0.011130694254031622
30,2.0426,0.6801361922438764,0.006801361922438765
35,2.1834,0.5298720977745491,0.005298720977745492
40,3.6904,0.6338358147028302,0.006338358147028303
45,4.0247,1.1929333216906977,0.011929333216906977
50,4.0393,1.1790485613408803,0.011790485613408803
55,4.1114,0.9666385260271824,0.009666385260271824
60,6.024,1.6135129376611779,0.016135129376611778
