Angle,Average Cluster Size,Standard Deviation,Error on Average
0,2.0201,0.44732090270856023,0.0044732090270856026
5,2.0261,0.6553005341062988,0.006553005341062988
10,2.0201,0.342776880783989,0.00342776880783989
15,2.0177,0.22268073558348017,0.0022268073558348016
20,2.028,0.5132406842798021,0.005132406842798021
25,2.0212,0.2528844795553915,0.002528844795553915
30,2.0299,0.32894678901001617,0.0032894678901001615
35,2.146,0.6264854347867957,0.006264854347867959
40,3.6525,1.2427162789631434,0.012427162789631433
45,4.01969803019698,0.5121383799649255,0.005121127749662862
50,4.0284,0.523443826976682,0.005234438269766821
55,4.1187,1.30131099664915,0.0130131099664915
60,6.0102,0.45199110610718446,0.004519911061071844
