Angle,Average Cluster Size,Standard Deviation,Error on Average
0,2.0225,0.3778806028363986,0.003778806028363987
5,2.0245975402459755,0.8529490889233183,0.008529064446671647
10,2.0226,0.5975694436632446,0.005975694436632446
15,2.0206,0.30557427902230194,0.0030557427902230196
20,2.0213,0.25738358533519645,0.0025738358533519646
25,2.0223,0.2653350900276851,0.0026533509002768514
30,2.0367,0.2972425104186814,0.002972425104186814
35,2.1881,0.5780297483694073,0.005780297483694075
40,3.7075,0.662679221041372,0.00662679221041372
45,4.0373,1.4006101206260078,0.01400610120626008
50,4.0163,0.2623629356444994,0.0026236293564449943
55,4.111077784443111,0.8499498662823192,0.008498648840428143
60,5.9993,0.41436639583827667,0.004143663958382767
