Angle,Average Cluster Size,Standard Deviation,Error on Average
0,2.0203979602039794,0.489039840519439,0.0048901539036115965
5,2.0177,0.37414797874637734,0.0037414797874637733
10,2.0174,0.23258813383317717,0.0023258813383317716
15,2.0205,0.2487564069526637,0.0024875640695266373
20,2.0184,0.29062250429035813,0.0029062250429035814
25,2.0287,0.7542388945155237,0.007542388945155238
30,2.029,0.8621826952566375,0.008621826952566376
35,2.0237,0.2741136807968561,0.0027411368079685613
40,2.025,0.3492491947020064,0.003492491947020064
45,2.033,0.5150834883783401,0.005150834883783401
50,2.035,0.6019759131393874,0.006019759131393874
55,2.0333,0.384955984496928,0.003849559844969281
60,2.0363,0.3343386157774775,0.0033433861577747753
