Angle,Average Cluster Size,Standard Deviation,Error on Average
0,1.4909527141857444,0.551997927124655,0.0055191514606086015
5,1.5425829668132747,0.5915623274168721,0.005914440504333013
10,1.7031890432870138,0.5539718057116781,0.005538887286326969
15,1.8805119488051194,0.4415899429498373,0.004415678651085141
20,2.0342862854858055,0.3219976822973661,0.003219333020743298
25,2.2317304808557434,0.7073434626158681,0.00707237384963351
30,2.500999800039992,0.5768729875035048,0.0057681530885640726
35,2.852685268526853,0.5099279779618634,0.0050995347627315075
40,3.2761067252922955,0.750611297329026,0.007503487212193799
45,3.6949084725417625,0.6032049742811616,0.0060329547539056255
50,4.166550034989503,0.5130046900634967,0.005129277566695681
55,4.821246373912174,0.9052085659020457,0.009053443777453598
60,5.6478,0.7206630002990302,0.007206630002990302
