Angle,Average Cluster Size,Standard Deviation,Error on Average
0,2.4192645883293364,0.5610924335275266,0.005608681311265876
5,2.4295140971805638,0.6363959018586229,0.006363322718127849
10,2.473810475809676,0.5581122098384036,0.005580006208720102
15,2.5811931647846507,0.6116503691157392,0.006114364038117829
20,2.706805236334566,0.6027622505673897,0.006025513944726857
25,2.8994904585872714,0.6958828295860001,0.006955698935286899
30,3.1187287627423546,0.5983980070833127,0.00598218568424548
35,3.390426701309084,0.5675691970527734,0.005673706520638458
40,3.691923230707717,0.6296762206459594,0.006295503231698143
45,4.0589587288897775,1.3194327580568017,0.01318971198895911
50,4.497751124437781,1.4304184323421563,0.014300609617799475
55,5.0942434539276436,0.5993307299816042,0.005991510116318247
60,5.8940635618628825,0.8813085241438571,0.008810442505038076
