Angle,Average Cluster Size,Standard Deviation,Error on Average
0,2.417765787370104,0.5683077909938559,0.005680806041804625
5,2.4162167566486703,0.5897112957411392,0.005896523334557605
10,2.4133346661335464,0.5477828850175329,0.0054767336129655075
15,2.4321974617767563,0.6358392828899346,0.006356168559082791
20,2.42580193864295,0.575702866321712,0.005755014760422307
25,2.438805075432111,0.5828988050725077,0.005826366775330499
30,2.44773136118329,0.5883949566531625,0.0058821851755979
35,2.464774657739582,0.6096500106540448,0.006094367451081985
40,2.487704918032787,0.6543527332349158,0.006542219019363503
45,2.515139402418307,1.0416266834859491,0.01041262305434051
50,2.5301349325337332,0.6643761990899044,0.006642101672994598
55,2.5635618628822705,0.6696554356377624,0.006694546293653769
60,2.6313212072756347,0.9672295867682444,0.009669395484029545
