Angle,Average Cluster Size,Standard Deviation,Error on Average
0,1.4959512146356093,0.5410829614651693,0.005410018172779353
5,1.4944022391043583,0.6170221762567266,0.006168988088304697
10,1.498550434869539,0.6750823485156293,0.006749811089416868
15,1.5038496150384961,0.5442247338425638,0.005441975246465444
20,1.505797680927629,0.5783878978907228,0.0057827225500285484
25,1.524142757172848,0.8020592015091269,0.00801938919691633
30,1.512897420515897,0.5600186595958441,0.005599626661287645
35,1.5246524652465248,0.5954853289623293,0.005955151054620335
40,1.5461177175976817,0.6379355720423595,0.006377124117444692
45,1.560668200460138,0.6159214896612398,0.006160138986772375
50,1.5644306707987603,0.634351418970743,0.0063425628766190685
55,1.5938781634490347,0.8201928732103735,0.008203159298297867
60,1.6128,0.7672523444082787,0.007672523444082788
