Angle,Average Cluster Size,Standard Deviation,Error on Average
0,1.6684663067386523,1.6169540869210526,0.0161679241576263
5,1.638916650009994,0.6731780480957084,0.006729761855149005
10,1.6475,0.6130609676043648,0.006130609676043648
15,1.6503650365036504,0.5504524652986227,0.005504799899862564
20,1.6671332866713329,0.5746787324830541,0.005746500007012957
25,1.6786606696651674,0.6028330626687856,0.006026824108951802
30,1.696551724137931,1.4812076543788788,0.014808374912706673
35,1.7023083841311082,1.0377205129169451,0.010373575013074059
40,1.709,0.5949109177011294,0.005949109177011294
45,1.7248275172482752,0.548308734655828,0.005482813212750816
50,1.7620475904819035,0.5911830740551386,0.005911239646140014
55,1.8013589128697043,0.9255403027404584,0.00925170308601052
60,1.8379675935187036,1.0088380945475006,0.010089389934920494
