Angle,Average Cluster Size,Standard Deviation,Error on Average
0,1.6456708658268346,1.3296887381718123,0.013295557892400025
5,1.6656006396162302,0.8645585562108101,0.008642993053010249
10,1.7921,0.5357962205913737,0.0053579622059137366
15,1.9464946494649464,0.47059495291316644,0.004706184844256903
20,2.105889411058894,0.4128792371171257,0.0041285859470343795
25,2.3029485257371314,0.5336046616003598,0.005334713104395619
30,2.5914042978510743,1.5462117227649366,0.01545825314731222
35,2.9454381932647147,0.7120856543751161,0.007118365551655437
40,3.3465,0.5953467477025475,0.005953467477025475
45,3.757124287571243,0.552697875838923,0.005526702430175754
50,4.247250549890022,0.6930071336102928,0.006929378432903066
55,4.872601918465228,0.7479366398502824,0.007476376445795496
60,5.696039207841569,1.1789844426990035,0.011791023588309881
