Angle,Average Cluster Size,Standard Deviation,Error on Average
0,2.5,2.0615528128088303,1.0307764064044151
5,1.5,0.8660254037844386,0.4330127018922193
10,1.3333333333333333,0.4714045207910318,0.27216552697590873
15,1.0,0.0,0.0
20,1.0,0.0,0.0
25,1.0,0.0,0.0
30,1.0,0.0,0.0
35,1.0,0.0,0.0
40,1.1,0.29999999999999977,0.0948683298050513
45,1.0,0.0,0.0
50,1.0555555555555556,0.22906142364542562,0.053990295322641685
55,1.2352941176470589,0.5455069703232766,0.1323048740090322
60,1.1764705882352942,0.5128116404165497,0.12437509173433511
