Angle,Average Cluster Size,Standard Deviation,Error on Average
0,2.0,2.0,0.8944271909999159
5,1.5,0.5,0.20412414523193148
10,1.5454545454545454,0.782029569731148,0.23579078706920842
15,1.3529411764705883,0.5882352941176466,0.1426680147272546
20,1.0,0.0,0.0
25,1.0,0.0,0.0
30,1.1111111111111112,0.3142696805273541,0.10475656017578472
35,1.0,0.0,0.0
40,1.0,0.0,0.0
45,1.0,0.0,0.0
50,1.0666666666666667,0.24944382578492935,0.06440611887195304
55,1.4,0.8000000000000003,0.35777087639996646
60,1.0,0.0,0.0
