Angle,Average Cluster Size,Standard Deviation,Error on Average
0,1.4285714285714286,0.7284313590846836,0.27532117475983764
5,1.5,0.8660254037844386,0.4330127018922193
10,1.125,0.33071891388307384,0.11692679333668567
15,1.125,0.33071891388307384,0.11692679333668567
20,1.0,0.0,0.0
25,1.0,0.0,0.0
30,1.0,0.0,0.0
35,1.4,0.48989794855663604,0.21908902300206662
40,1.1,0.43588989435406705,0.09746794344808958
45,1.1428571428571428,0.34992710611188277,0.1322600142532217
50,1.0,0.0,0.0
55,1.6,1.4966629547095762,0.47328638264796924
60,1.4,1.2328828005937953,0.24657656011875906
