Angle,Average Cluster Size,Standard Deviation,Error on Average
0,1.25,0.4330127018922193,0.15309310892394862
5,1.0,0.0,0.0
10,2.3333333333333335,1.8856180831641265,1.0886621079036347
15,1.2857142857142858,0.6998542122237649,0.26452002850644313
20,1.1111111111111112,0.3142696805273541,0.10475656017578472
25,1.125,0.33071891388307384,0.11692679333668567
30,1.0,0.0,0.0
35,1.0,0.0,0.0
40,1.0,0.0,0.0
45,1.0,0.0,0.0
50,1.0,0.0,0.0
55,1.05,0.2179449471770334,0.04873397172404476
60,1.0,0.0,0.0
