Angle,Average Cluster Size,Standard Deviation,Error on Average
0,1.2564102564102564,0.7059435845095491,0.1130414428780596
5,1.25,0.4330127018922193,0.21650635094610965
10,1.4,0.8000000000000003,0.35777087639996646
15,1.2,0.4000000000000002,0.17888543819998326
20,1.0,0.0,0.0
25,1.0,0.0,0.0
30,1.2432432432432432,0.749969563541168,0.12329423675600883
35,1.0,0.0,0.0
40,1.0,0.0,0.0
45,1.0,0.0,0.0
50,1.0,0.0,0.0
55,1.0,0.0,0.0
60,1.2941176470588236,0.4556450995538136,0.11051016901502635
