Angle,Average Cluster Size,Standard Deviation,Error on Average
0,1.6666666666666667,1.4907119849998596,0.6085806194501845
5,2.5,1.6583123951777,0.82915619758885
10,1.5,0.8660254037844386,0.4330127018922193
15,1.3333333333333333,0.4714045207910318,0.27216552697590873
20,1.1428571428571428,0.34992710611188277,0.1322600142532217
25,1.0,0.0,0.0
30,1.125,0.33071891388307384,0.11692679333668567
35,1.0,0.0,0.0
40,1.0,0.0,0.0
45,1.0714285714285714,0.2575393768188564,0.0688302936899594
50,1.0,0.0,0.0
55,1.0,0.0,0.0
60,1.0,0.0,0.0
