Angle,Average Cluster Size,Standard Deviation,Error on Average
0,1.205128205128205,0.5629358564128245,0.09014187939807121
5,1.5,0.8660254037844386,0.4330127018922193
10,1.4,0.8000000000000003,0.35777087639996646
15,1.2,0.4000000000000002,0.17888543819998326
20,1.0,0.0,0.0
25,1.3333333333333333,0.4714045207910318,0.27216552697590873
30,1.2972972972972974,1.1824131272555327,0.19438752069737014
35,1.0,0.0,0.0
40,1.0,0.0,0.0
45,1.0,0.0,0.0
50,1.0,0.0,0.0
55,1.0,0.0,0.0
60,1.411764705882353,0.7714633558002353,0.187107347191637
