Angle,Average Cluster Size,Standard Deviation,Error on Average
0,1.8,1.5999999999999999,0.7155417527999326
5,1.5,0.7637626158259734,0.3118047822311618
10,1.4545454545454546,0.49792959773196926,0.15013142251723102
15,1.3529411764705883,0.6809315825170718,0.16515016697275733
20,1.1666666666666667,0.37267799624996456,0.15214515486254598
25,1.1666666666666667,0.37267799624996456,0.15214515486254598
30,1.0,0.0,0.0
35,1.0,0.0,0.0
40,1.0,0.0,0.0
45,1.0,0.0,0.0
50,1.0,0.0,0.0
55,1.4,0.8000000000000003,0.35777087639996646
60,1.0,0.0,0.0
