Angle,Average Cluster Size,Standard Deviation,Error on Average
0,1.4,0.8000000000000003,0.35777087639996646
5,1.0,0.0,0.0
10,1.5,1.118033988749895,0.4564354645876385
15,1.0,0.0,0.0
20,1.1428571428571428,0.34992710611188277,0.1322600142532217
25,1.0,0.0,0.0
30,1.2903225806451613,0.7270598496506222,0.13058380388804153
35,1.25,0.6614378277661477,0.23385358667337133
40,1.2,0.6000000000000001,0.18973665961010278
45,1.0,0.0,0.0
50,1.0,0.0,0.0
55,1.125,0.5562148865321747,0.0879452954966893
60,1.0,0.0,0.0
